"d191da76","nm0390479"
"4f9d58d0","nm0000247"
"4f9d58d0","nm0000154"
"4f9d58d0","nm0796117"
"4f9d58d0","nm0000158"
"81630981","nm1126979"
"1769753c","nm1135047"
"c95b6182","nm0000229"
"c95b6182","nm0000631"
"86c8f83a","nm0000230"
"d1c1ebde","nm0818810"
"d1c1ebde","nm0601382"
"d1c1ebde","nm1417049"
"d1c1ebde","nm0576298"
"7083fbdd","nm0000233"
"60ead974","nm0000229"
"7f51095f","nm0000217"
"7f51095f","nm0001008"
"7f51095f","nm0001486"
"7f51095f","nm0000759"
"7f51095f","nm0000399"
"23852088","nm0000233"
"4212629d","nm0923736"
"4212629d","nm0634240"
"4212629d","nm0000386"
"4212629d","nm0000116"
"db4cd002","nm0946734"
"d48be0af","nm0000229"
"d48be0af","nm0634240"
"d5cee551","nm0000186"
"d5cee551","nm0327944"
"d5cee551","nm0001392"
"d5cee551","nm0001789"
"d5cee551","nm0000040"
"d5cee551","nm0000464"
"d5cee551","nm0000264"
"d5cee551","nm0000095"
"40276087","nm0001756"
"7bd823ee","nm0680846"
"ec109056","nm0000184"
"f79b60fd","nm0000184"
"a0f37625","nm0080315"
"80d6c2e6","nm0588087"
"80d6c2e6","nm0027572"
"80d6c2e6","nm0520488"
"80d6c2e6","nm1698571"
"80d6c2e6","nm0736622"
"80d6c2e6","nm0634240"
"80d6c2e6","nm0003418"
"80d6c2e6","nm0510912"
"80d6c2e6","nm0001723"
"80d6c2e6","nm0001392"
"80d6c2e6","nm0000835"
"d21444bb","nm0000116"
"df05fdcc","nm0000184"
"df05fdcc","nm0000229"
"df05fdcc","nm0001392"
"df05fdcc","nm0000033"
"df05fdcc","nm0000165"
"db7beaed","nm0923736"
"a8ae5daa","nm0000116"
"a8ae5daa","nm0000165"
"16348be8","nm0000338"
"2d869553","nm0000233"
"2d869553","nm0942367"
"2d869553","nm0001675"
"d188f040","nm0000142"
"d188f040","nm0001392"
"63555760","nm0001309"
"a4bf5446","nm0000229"
"b3d4dff3","nm0003418"
"b3d4dff3","nm0510912"
"b3d4dff3","nm0409869"
"b3d4dff3","nm0760170"
"13930cd8","nm0477035"
"13930cd8","nm0000165"
"13930cd8","nm0000709"
"13930cd8","nm1038286"
"13930cd8","nm0610831"
"dbee2ede","nm0000184"
"dbee2ede","nm0449984"
"7ebcaf28","nm0000233"
"7ebcaf28","nm0000142"
"fe6c4101","nm0834902"
"fe6c4101","nm0766226"
"fe6c4101","nm0891216"
"5acebf3b","nm0634240"
"5acebf3b","nm0001392"
"b38883b4","nm0000881"
"ff003146","nm1731937"
"99317977","nm0000229"
"aa4960f0","nm1921430"
"aa4960f0","nm0000154"
"aa4960f0","nm0080406"
"aa4960f0","nm0711495"
"aa4960f0","nm0810107"
"aa4960f0","nm2001446"
"aa4960f0","nm0830636"
"aa4960f0","nm0424466"
"aa4960f0","nm2310012"
"aa4960f0","nm0582721"
"f51993c3","nm0634240"
"bbf183e9","nm0000229"
"bbf183e9","nm2113026"
"54839172","nm0000247"
"54839172","nm0120602"
"54839172","nm0062644"
"54839172","nm0291548"
"54839172","nm0298807"
"54839172","nm2815884"
"54839172","nm0940326"
"54839172","nm2087066"
"54839172","nm1103162"
"54839172","nm0000682"
"54839172","nm0894204"
"0dd6305a","nm0000520"
"27d72046","nm0027271"
"dba271d8","nm0004305"
"dba271d8","nm0004306"
"dba271d8","nm0576298"
"fbaa28e3","nm0009190"
"fbaa28e3","nm0000229"
"fbaa28e3","nm0634240"
"b7c36c1b","nm0001392"
"b7c36c1b","nm0905152"
"b7c36c1b","nm0634240"
"286671cc","nm0000338"
"286671cc","nm0634240"
"ebf4c422","nm0424103"
"4e6935c4","nm0000229"
"4e6935c4","nm0000184"
"4e6935c4","nm0000638"
"e18729fe","nm0000229"
"de5a304d","nm0000116"
"e5d92be4","nm0000154"
"e5d92be4","nm0000142"
"3ce5623c","nm0796117"
"b06e17ad","nm0318947"
"b06e17ad","nm0504642"
"b06e17ad","nm0962729"
"b06e17ad","nm0004410"
"b06e17ad","nm0576298"
"b06e17ad","nm0922346"
"b06e17ad","nm0950593"
"b06e17ad","nm0407530"
"b06e17ad","nm0614336"
"aa8b3935","nm0634240"
"aa8b3935","nm0000116"
"0105f80a","nm0001789"
"0105f80a","nm0000217"
"0105f80a","nm0000095"
"0105f80a","nm0000233"
"e9f7fea3","nm0000881"
"e9f7fea3","nm1490123"
"1d72221b","nm0000338"
"87a15342","nm0000217"
"87a15342","nm0000233"
"87a15342","nm0000142"
"87a15342","nm0000231"
"d09faaf6","nm0001885"
"ab7b378d","nm0504642"
"ab7b378d","nm0477035"
"ab7b378d","nm0003418"
"ab7b378d","nm0510912"
"a301d77d","nm0000229"
"2701dd77","nm0000934"
"2701dd77","nm0230859"
"6b283770","nm0000118"
"6b283770","nm0000142"
"9c5aeb1a","nm0001878"
"869643a3","nm0201509"
"918cfa19","nm0822570"
"51b8b586","nm0587518"
"02fa6429","nm0000233"
"bf1036c8","nm0001437"
"bf1036c8","nm0000591"
"e23de6bc","nm0000142"
"e23de6bc","nm0000165"
"aad00317","nm0000229"
"1d19bb47","nm0000233"
"1d19bb47","nm0000229"
"1d19bb47","nm0000184"
"ac3023e9","nm0000116"
"72776dd4","nm0634240"
"22f488ae","nm1281881"
"22f488ae","nm1285613"
"22f488ae","nm0810107"
"a1425aae","nm0000631"
"a1425aae","nm0000116"
"a1425aae","nm0000659"
"ea264709","nm0000108"
"ea264709","nm0000116"
"ea264709","nm0000095"
"ea264709","nm0000186"
"9d73bb79","nm0510912"
"9d73bb79","nm0569891"
"ae66c41c","nm0000217"
"ae66c41c","nm0000229"
"ae66c41c","nm0496312"
"ae66c41c","nm0000142"
"ae66c41c","nm0027572"
"ae66c41c","nm0000095"
"ae66c41c","nm0000338"
"ae66c41c","nm0000399"
"ae66c41c","nm0634240"
"ae66c41c","nm0000033"
"60ef0042","nm0000033"
"74f3faed","nm0640488"
"e8648762","nm0007181"
"5f906785","nm0594503"
"5f906785","nm0000318"
"957222f9","nm0000233"
"957222f9","nm0000095"
"a2d87676","nm0000233"
"384bcb6c","nm0004874"
"b4814871","nm0269463"
"b4814871","nm0000948"
"b4814871","nm0005436"
"b4814871","nm5562562"
"ff9108e2","nm0000116"
"ff9108e2","nm0939128"
"ff9108e2","nm0424103"
"50f517c5","nm0000229"
"50f517c5","nm0000116"
"50f517c5","nm0000941"
"50f517c5","nm0005222"
"50f517c5","nm0000881"
"2e1312a9","nm0000217"
"a8d39073","nm0000233"
"a8d39073","nm0004716"
"50a2e8ab","nm0190859"
"26740768","nm0386246"
"26740768","nm0000116"
"d10238b9","nm0000229"
"d10238b9","nm0002653"
"d10238b9","nm6854058"
"bb1c000f","nm0190859"
"bb1c000f","nm0327944"
"bb1c000f","nm0000399"
"bb1c000f","nm0634240"
"f2ef0636","nm0000399"
"f2ef0636","nm0159146"
"f2ef0636","nm1905913"
"f2ef0636","nm4873566"
"55abcff3","nm0609236"
"56b99844","nm0680846"
"76a51753","nm0655802"
"81fe8868","nm0958989"
"4055d3f7","nm0688585"
"4055d3f7","nm0629272"
"1f3fc001","nm0000186"
"a2e9dbd1","nm0576298"
"a2e9dbd1","nm0634240"
"acd980e3","nm0000116"
"acd980e3","nm0000631"
"acd980e3","nm0132709"
"7c94d3bf","nm0000116"
"814d14b9","nm0946734"
"814d14b9","nm0190859"
"29631ed2","nm0751080"
"c3b64baa","nm0000116"
"a4f6810e","nm0000154"
"a4f6810e","nm0000229"
"eab7e692","nm1255245"
"3109c266","nm0000233"
"ac97ec29","nm0000217"
"ac97ec29","nm0000233"
"ac97ec29","nm0000142"
"7d1d2faa","nm0000108"
"08fa64d5","nm0001060"
"08fa64d5","nm0007131"
"dd73e2ab","nm0000229"
"dd73e2ab","nm0000116"
"dd73e2ab","nm0796117"
"dd73e2ab","nm1545646"
"3a2d53ec","nm0001392"
"3a2d53ec","nm0001060"
"3a2d53ec","nm0002657"
"3a2d53ec","nm1349376"
"213cdd21","nm0000229"
"48ee1d84","nm1275670"
"0c78161a","nm0001392"
"0c78161a","nm0000229"
"9f2d7920","nm0000229"
"9f2d7920","nm0000116"
"6b063b41","nm0923736"
"6b063b41","nm0634240"
"6b063b41","nm0811583"
"6b063b41","nm1490123"
"aeefaeb5","nm0811583"
"aeefaeb5","nm0905152"
"a4246350","nm0000229"
"a4246350","nm0000142"
"a4246350","nm1000113"
"773fbde2","nm0000229"
"773fbde2","nm0000116"
"773fbde2","nm0000923"
"6049713a","nm0000318"
"548ba51e","nm0000709"
"548ba51e","nm0891114"
"548ba51e","nm1129343"
"548ba51e","nm0083348"
"548ba51e","nm0684342"
"548ba51e","nm0781842"
"548ba51e","nm0677953"
"7938a992","nm0001466"
"7938a992","nm0000247"
"7938a992","nm0000233"
"7938a992","nm0001068"
"7938a992","nm0811583"
"7938a992","nm0000466"
"895a7a7b","nm1442514"
"895a7a7b","nm0700872"
"895a7a7b","nm1894520"
"895a7a7b","nm0000229"
"895a7a7b","nm0000386"
"895a7a7b","nm0000116"
"a149505d","nm0386246"
"39b8e47d","nm1212237"
"0681186a","nm0001392"
"d7539abb","nm0000709"
"d7539abb","nm0000231"
"d7539abb","nm0000631"
"d7539abb","nm0000233"
"d7539abb","nm0000338"
"d7539abb","nm0001068"
"d7539abb","nm0000142"
"d7539abb","nm0000399"
"d7539abb","nm0000229"
"d7539abb","nm0000217"
"568c0b24","nm0000095"
"568c0b24","nm0027572"
"658d5994","nm0144812"
"658d5994","nm0001401"
"658d5994","nm0000231"
"658d5994","nm0001490"
"658d5994","nm0015359"
"efb895d4","nm1032521"
"a54edf2c","nm1442514"
"168b6090","nm0005190"
"168b6090","nm0811583"
"9c28deba","nm0386246"
"df2f7c48","nm0424103"
"06920ac5","nm0634240"
"02ec560f","nm0000229"
"02ec560f","nm0000217"
"02ec560f","nm0000631"
"02ec560f","nm0000116"
"fa44cd25","nm0000881"
"84317885","nm0000229"
"84317885","nm0027271"
"988e899c","nm0634240"
"6d8dd0f5","nm0905152"
"6d8dd0f5","nm0905154"
"71281f64","nm0001392"
"05413182","nm0001392"
"05413182","nm0000184"
"4fa6a9f7","nm0001392"
"4fa6a9f7","nm0000318"
"4fa6a9f7","nm0893659"
"ebd82033","nm2862601"
"ebd82033","nm0093875"
"0e793f44","nm0005436"
"41333703","nm0000229"
"41333703","nm0468169"
"41333703","nm0000040"
"41333703","nm0000682"
"41333703","nm0894204"
"41333703","nm0000631"
"41333703","nm0905152"
"e84f7251","nm0000217"
"e84f7251","nm0005190"
"e84f7251","nm0001104"
"e84f7251","nm0000923"
"e84f7251","nm0455078"
"e84f7251","nm0680846"
"e84f7251","nm0000255"
"e84f7251","nm0269463"
"e84f7251","nm0000957"
"e84f7251","nm0000881"
"a856241c","nm0000233"
"a856241c","nm0000116"
"a856241c","nm0001681"
"9c5b9059","nm0593463"
"13832cc2","nm0000116"
"13832cc2","nm0000881"
"c057ce15","nm0000583"
"dbdb8fbb","nm0001060"
"3598237b","nm0923736"
"9eda5560","nm0005363"
"9eda5560","nm0000361"
"9eda5560","nm0000229"
"6a02f46b","nm1027719"
"6a02f46b","nm0424103"
"1bff6f9a","nm0286975"
"06bad0bb","nm1490123"
"1dbcbf87","nm0000631"
"1dbcbf87","nm0593463"
"6e7d980b","nm1436693"
"6e7d980b","nm0788171"
"43443e89","nm0000233"
"40c3d218","nm0000229"
"a85e41e7","nm0869473"
"0ee59dbb","nm0001124"
"0ee59dbb","nm1860603"
"0ee59dbb","nm0834935"
"0ee59dbb","nm0245213"
"0ee59dbb","nm0410769"
"0ee59dbb","nm0001661"
"0ee59dbb","nm0281507"
"0ee59dbb","nm6182173"
"0ee59dbb","nm0482303"
"0ee59dbb","nm1018206"
"5097260f","nm0000329"
"cd472322","nm0919363"
"cd472322","nm1720541"
"405b3762","nm1302591"
"9b9d6be5","nm0000229"
"9b9d6be5","nm0000116"
"9b9d6be5","nm0001392"
"058829af","nm0001741"
"058829af","nm0000040"
"058829af","nm0001490"
"058829af","nm0000338"
"058829af","nm0000570"
"058829af","nm0000361"
"058829af","nm0001328"
"058829af","nm0400441"
"058829af","nm0462895"
"058829af","nm0000033"
"27d44a1c","nm0000229"
"27d44a1c","nm0000233"
"d6486ef6","nm0002120"
"220fc868","nm0001060"
"b225b132","nm0536818"
"b225b132","nm0049335"
"b225b132","nm0711745"
"b225b132","nm0707300"
"e20e4f11","nm0634240"
"8cfe9781","nm0058291"
"15dadc2f","nm0015295"
"15dadc2f","nm1027719"
"15dadc2f","nm0006765"
"15dadc2f","nm0386246"
"15dadc2f","nm2680506"
"33a63a1f","nm0634240"
"433316bb","nm0000116"
"433316bb","nm0939128"
"fa803fcf","nm0000923"
"fa803fcf","nm0000631"
"fa803fcf","nm0001112"
"fa803fcf","nm0000230"
"e882d583","nm0788171"
"e882d583","nm1701255"
"e882d583","nm5366274"
"e882d583","nm5961051"
"560dc658","nm0000233"
"616f4432","nm0001392"
"7c4aed81","nm0634240"
"7c4aed81","nm0000217"
"23fbbf42","nm0004305"
"23fbbf42","nm0004306"
"23fbbf42","nm1490123"
"23fbbf42","nm0777881"
"23fbbf42","nm0348181"
"23fbbf42","nm0000881"
"37b8d96d","nm0610831"
"4775d2a7","nm0430485"
"4775d2a7","nm0796119"
"4775d2a7","nm1027719"
"4775d2a7","nm0698184"
"7329a868","nm2891034"
"7329a868","nm0524077"
"530becfd","nm0228542"
"4d0ce86c","nm1490123"
"9dbeef20","nm0000229"
"9dbeef20","nm0000965"
"9dbeef20","nm0005222"
"9dbeef20","nm0000591"
"9dbeef20","nm0001814"
"9dbeef20","nm0000487"
"9dbeef20","nm0001837"
"9dbeef20","nm0000040"
"9dbeef20","nm0000233"
"9dbeef20","nm0000399"
"21cd5c4b","nm0000116"
"21cd5c4b","nm0001392"
"86aa4630","nm0001104"
"86aa4630","nm0000229"
"86aa4630","nm0000631"
"0c10fa43","nm0002159"
"0c10fa43","nm0001024"
"d27fe743","nm0000116"
"c114b099","nm0004363"
"85d70d6a","nm0001392"
"11ede4d0","nm0000631"
"3bb665d2","nm1665004"
"b8ebe82","nm1347153"
"06652fad","nm1228976"
"21962a06","nm0634240"
"12","nm0000095"
"12","nm0000116"
"15","nm0923736"
"16","nm0000229"
"16","nm0000233"
"16","nm0001466"
"14","nm0001425"
"14","nm0000318"
"14","nm0000033"
"17","nm0000217"
"17","nm0000108"
"17","nm0001392"
"18","nm0000095"
"18","nm0000631"
"20","nm0000186"
"20","nm0001068"
"20","nm0000019"
"20","nm0634240"
"21","nm0169505"
"21","nm0000142"
"21","nm0000318"
"21","nm0000095"
"21","nm0000233"
"19","nm0000095"
"19","nm0868219"
"22","nm0634240"
"22","nm0000165"
"22","nm0000229"
"22","nm0000709"
"22","nm0000142"
"24","nm0000233"
"24","nm0634240"
"24","nm0000965"
"24","nm0905152"
"24","nm0003620"
"13","nm0000040"
"25","nm0634240"
"25","nm0001053"
"25","nm0001054"
"25","nm0000095"
"26","nm0009190"
"27","nm0000217"
"27","nm0634240"
"28","nm0588340"
"28","nm0000233"
"29","nm0000217"
"29","nm0001392"
"29","nm0000399"
"31","nm0000142"
"31","nm0000318"
"31","nm0000229"
"34","nm0000878"
"34","nm0001466"
"34","nm0000040"
"36","nm0001723"
"36","nm0000116"
"37","nm0001392"
"37","nm0000709"
"37","nm0000318"
"37","nm0000233"
"38","nm0000233"
"40","nm0000154"
"41","nm0000229"
"41","nm0000184"
"41","nm0000631"
"41","nm0000709"
"41","nm0000033"
"41","nm0000217"
"41","nm0634240"
"42","nm0000318"
"43","nm0634240"
"43","nm0000233"
"32","nm0923736"
"44","nm0000095"
"10","nm0634240"
"10","nm0000233"
"45","nm0634240"
"45","nm0001741"
"47","nm0001880"
"47","nm0000709"
"47","nm0000399"
"50","nm0000142"
"49","nm0000142"
"49","nm0610831"
"49","nm0889402"
"52","nm0634240"
"52","nm0905152"
"52","nm0905154"
"52","nm0893659"
"52","nm0000316"
"52","nm0005363"
"52","nm0000217"
"54","nm0923736"
"54","nm0000948"
"59","nm0634240"
"62","nm0000233"
"62","nm0001053"
"62","nm0001054"
"62","nm0001596"
"61","nm0634240"
"61","nm0000338"
"61","nm0000217"
"61","nm0001392"
"61","nm0070159"
"61","nm1410815"
"64","nm0000229"
"64","nm0000217"
"66","nm0280034"
"65","nm0000095"
"67","nm0000399"
"67","nm0634240"
"67","nm0586841"
"67","nm1410815"
"67","nm0000500"
"68","nm0452102"
"69","nm0001232"
"69","nm0634240"
"69","nm0000095"
"69","nm0000186"
"69","nm0000399"
"69","nm0027572"
"69","nm0000217"
"69","nm0000466"
"69","nm3213992"
"69","nm0846092"
"74","nm0004716"
"74","nm0000217"
"74","nm0000233"
"74","nm0327944"
"74","nm0000095"
"74","nm0634240"
"75","nm0000229"
"75","nm0634240"
"75","nm3227090"
"75","nm0001024"
"75","nm0004716"
"77","nm0000229"
"76","nm0634240"
"78","nm0000186"
"79","nm0000116"
"79","nm0000040"
"79","nm0000033"
"79","nm0000631"
"80","nm0000184"
"81","nm0000591"
"83","nm0188165"
"87","nm2557280"
"85","nm0000233"
"85","nm0000142"
"85","nm0000229"
"85","nm0000186"
"85","nm0000399"
"88","nm0001490"
"84","nm0000399"
"89","nm0738736"
"90","nm0000116"
"91","nm0000040"
"92","nm0000040"
"92","nm0000233"
"93","nm0000116"
"94","nm0000591"
"95","nm0000217"
"96","nm0001024"
"97","nm0000041"
"97","nm0000122"
"97","nm0024622"
"104","nm0001104"
"113","nm0000406"
"114","nm0711745"
"114","nm0000217"
"114","nm0000631"
"115","nm0132709"
"117","nm0634240"
"117","nm0000217"
"120","nm0339030"
"120","nm0000233"
"120","nm0000338"
"120","nm0000229"
"120","nm0905152"
"120","nm0905154"
"120","nm0094435"
"120","nm0001885"
"120","nm1410815"
"120","nm0368690"
"122","nm0000318"
"118","nm0000116"
"118","nm0201094"
"118","nm0201095"
"118","nm0001054"
"118","nm0001053"
"118","nm0868219"
"118","nm0000229"
"118","nm0634240"
"118","nm0000040"
"127","nm0000116"
"128","nm0000033"
"128","nm0000019"
"128","nm0452102"
"128","nm0000040"
"128","nm0001425"
"128","nm0001789"
"128","nm0001596"
"128","nm0000591"
"128","nm0000122"
"131","nm1729121"
"132","nm0206760"
"132","nm0267512"
"130","nm0000186"
"130","nm0000217"
"130","nm0001752"
"130","nm0000517"
"130","nm0452102"
"130","nm0001554"
"130","nm0594503"
"130","nm0000343"
"130","nm0203993"
"130","nm0600546"
"130","nm0708903"
"130","nm1410815"
"130","nm0067323"
"130","nm0000399"
"130","nm0000142"
"130","nm0001054"
"130","nm0000229"
"130","nm0001392"
"130","nm0000165"
"130","nm0000233"
"130","nm0000487"
"130","nm0000116"
"130","nm0634240"
"130","nm0000941"
"130","nm0000759"
"130","nm0000631"
"130","nm0000231"
"140","nm0000233"
"142","nm0000040"
"142","nm0001469"
"138","nm0000320"
"138","nm0001054"
"138","nm0001053"
"138","nm0000416"
"138","nm0001789"
"138","nm0000040"
"146","nm0005124"
"153","nm0000318"
"156","nm0923736"
"156","nm0294094"
"159","nm0000095"
"161","nm0893659"
"157","nm0000386"
"157","nm0541677"
"163","nm0005563"
"163","nm0000165"
"151","nm0000399"
"167","nm0000399"
"167","nm0000233"
"154","nm0586841"
"166","nm0000416"
"149","nm0634240"
"149","nm0000033"
"149","nm0000217"
"149","nm0000229"
"149","nm0000631"
"149","nm0001392"
"149","nm0000184"
"149","nm0009190"
"170","nm0000233"
"170","nm0634240"
"170","nm0000186"
"169","nm0000217"
"169","nm0001392"
"169","nm0868153"
"169","nm0000229"
"169","nm0038609"
"171","nm0027572"
"173","nm0000338"
"173","nm0000217"
"173","nm0027572"
"175","nm0000116"
"178","nm0000217"
"178","nm0000095"
"181","nm0000040"
"181","nm0000399"
"181","nm0000186"
"182","nm0001104"
"184","nm0000217"
"185","nm0327944"
"183","nm0000095"
"187","nm0000229"
"188","nm0000095"
"191","nm0000399"
"192","nm0000233"
"193","nm0339030"
"197","nm0000934"
"197","nm0000264"
"197","nm0000591"
"197","nm0000095"
"197","nm0000019"
"198","nm0000040"
"198","nm0000399"
"199","nm0000184"
"199","nm0001024"
"199","nm0634240"
